algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Tournament Sort,sorted_desc_1000.txt,1000,0.002095460891723633,0.0027611255645751953,0.00019889443897514575,0.0,0.0024222135543823242
Tournament Sort,random_1000.txt,1000,0.0020742416381835938,0.0025305747985839844,0.00013773765695511685,0.0,0.0021498918533325194
Tournament Sort,partial_30_1000.txt,1000,0.0020945072174072266,0.002740144729614258,0.00017916400973454964,0.0,0.0022159576416015624
Tournament Sort,partial_70_1000.txt,1000,0.002123117446899414,0.0028107166290283203,0.0002264231622081786,0.0,0.0022516489028930665
Tournament Sort,sorted_asc_10000.txt,10000,0.03116607666015625,0.034606218338012695,0.0011503577772823052,0.0,0.03329536914825439
Tournament Sort,sorted_desc_10000.txt,10000,0.030549049377441406,0.06577229499816895,0.009493165279403927,0.0,0.043041110038757324
Tournament Sort,random_10000.txt,10000,0.03113698959350586,0.0521845817565918,0.007570928337965476,0.0,0.038359546661376955
Tournament Sort,partial_30_10000.txt,10000,0.030911684036254883,0.03496408462524414,0.0010581526769771288,0.0,0.03274517059326172
Tournament Sort,partial_70_10000.txt,10000,0.03224492073059082,0.03513932228088379,0.0007923600647418566,0.0,0.032966232299804686
Tournament Sort,sorted_asc_100000.txt,100000,0.38626980781555176,0.48070549964904785,0.026778837357116267,0.0,0.409216046333313
Tournament Sort,sorted_desc_100000.txt,100000,0.38040733337402344,0.48171257972717285,0.030633423584609853,0.50390625,0.41448173522949217
Tournament Sort,random_100000.txt,100000,0.43266797065734863,0.5458464622497559,0.03953638450103259,0.50390625,0.4717800855636597
Tournament Sort,partial_30_100000.txt,100000,0.40515923500061035,0.5443553924560547,0.04541920207822273,1.39453125,0.4719949960708618
Tournament Sort,partial_70_100000.txt,100000,0.3873915672302246,0.47997450828552246,0.02540191966733976,0.0,0.40968196392059325
Tournament Sort,sorted_asc_1000000.txt,1000000,4.9376280307769775,5.924381494522095,0.3084241859535742,1.0,5.353375577926636
Tournament Sort,sorted_desc_1000000.txt,1000000,4.533284902572632,5.276639938354492,0.26890079012206886,1.015625,4.87544014453888
Tournament Sort,random_1000000.txt,1000000,6.397808790206909,7.192902088165283,0.22599489148744353,0.0,6.5726354122161865
Tournament Sort,partial_30_1000000.txt,1000000,5.714310169219971,8.43019986152649,0.9138681716665432,0.0,7.024945783615112
Tournament Sort,partial_70_1000000.txt,1000000,6.358123540878296,9.348720073699951,0.9661194431170681,2.0,7.402208018302917
